"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"2406","17582.604413558664","17582.604413558664","17582.604413558664"
"2410","17420.269774642024","17420.269774642024","17420.269774642024"
"2419","16928.240851148854","16928.240851148854","16928.240851148854"
"2422","16702.943992535245","16702.943992535245","16702.943992535245"
"2428","17176.64160986236","17176.64160986236","17176.64160986236"
"2429","17473.748723776225","17473.748723776225","17473.748723776225"
"2454","17648.0003481241","17648.0003481241","17648.0003481241"
"2459","18076.31410789211","18076.31410789211","18076.31410789211"
"2533","17607.19210930736","17607.19210930736","17607.19210930736"
"2537","16998.116521978023","16998.116521978023","16998.116521978023"
"2542","17470.33996864247","17470.33996864247","17470.33996864247"
"2549","17914.627393883893","17914.627393883893","17914.627393883893"
"2551","17418.837277222778","17418.837277222778","17418.837277222778"
"2563","17138.574035603287","17138.574035603287","17138.574035603287"
"2573","17194.381858724613","17194.381858724613","17194.381858724613"
"2578","17120.030655122653","17120.030655122653","17120.030655122653"
"2590","17097.57010653236","17097.57010653236","17097.57010653236"
"2599","16900.75273651349","16900.75273651349","16900.75273651349"
"2612","17701.63904287379","17701.63904287379","17701.63904287379"
"2624","17176.28736677212","17176.28736677212","17176.28736677212"
"2662","17474.097914696416","17474.097914696416","17474.097914696416"
"2663","16629.449892385393","16629.449892385393","16629.449892385393"
"2672","17813.545716727716","17813.545716727716","17813.545716727716"
"2700","17524.35624575425","17524.35624575425","17524.35624575425"
"2707","17100.776805527807","17100.776805527807","17100.776805527807"
"2732","17844.22040229215","17844.22040229215","17844.22040229215"
"2738","17437.625694472197","17437.625694472197","17437.625694472197"
"2752","17729.303984820734","17729.303984820734","17729.303984820734"
"2773","17472.664014541017","17472.664014541017","17472.664014541017"
"2798","17292.434220584968","17292.434220584968","17292.434220584968"
"2815","17205.318959262964","17205.318959262964","17205.318959262964"
"2821","17884.1233997669","17884.1233997669","17884.1233997669"
"2833","17932.9496022866","17932.9496022866","17932.9496022866"
"2836","17970.70656043956","17970.70656043956","17970.70656043956"
"2839","18004.19092177267","18004.19092177267","18004.19092177267"
"2860","17193.239645215894","17193.239645215894","17193.239645215894"
"2863","17299.426924214677","17299.426924214677","17299.426924214677"
"2865","17564.893747696748","17564.893747696748","17564.893747696748"
"2871","17582.465782634034","17582.465782634034","17582.465782634034"
"2874","17404.92619999445","17404.92619999445","17404.92619999445"
"2884","17216.78573706849","17216.78573706849","17216.78573706849"
"2902","17711.86300785326","17711.86300785326","17711.86300785326"
"2909","17634.513194361192","17634.513194361192","17634.513194361192"
"2911","17131.35604778555","17131.35604778555","17131.35604778555"
"2938","17116.51730161505","17116.51730161505","17116.51730161505"
"2941","17409.978342934846","17409.978342934846","17409.978342934846"
"2946","17080.015938117438","17080.015938117438","17080.015938117438"
"2958","17540.00993944944","17540.00993944944","17540.00993944944"
"2975","16981.477412781664","16981.477412781664","16981.477412781664"
"2977","17430.413933927182","17430.413933927182","17430.413933927182"
